Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Tea, iced, instant, black, unsweetened, dry",Not included in a food category,315,20.21,58.66,5.53,8.5,0.0,0.0,0.0,0.0,0,0.0,0.985,10.8,0.356,0,118.3,0.0,0.0,0.0,0.0,118,239,272,2.26,1.69,0.55,6040,72,5714,71,0.0,5.09
"Tea, iced, instant, black, pre-sweetened, dry",Not included in a food category,401,0.12,98.55,95.29,0.7,0.73,0.097,0.033,0.218,0,0.011,0.0,0.125,0.015,0,1.1,0.0,0.0,0.0,0.0,2,2,3,0.21,0.03,0.01,169,5,35,1,0.0,0.13
Iced Tea / Lemonade juice drink,Tea,33,0.2,9.15,7.2,0.3,0.05,0.013,0.003,0.009,0,0.009,0.016,0.08,0.016,0,2.5,6.3,0.0,0.1,0.0,4,4,5,0.04,0.1,0.013,67,12,10,1,0.0,90.5
"Iced Tea / Lemonade juice drink, light",Tea,21,0.22,6.12,3.86,0.3,0.04,0.014,0.003,0.01,0,0.01,0.015,0.089,0.018,0,2.7,7.1,0.0,0.11,0.0,5,5,5,0.04,0.1,0.014,72,13,9,1,0.0,93.5
"Iced Tea / Lemonade juice drink, diet",Tea,2,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.3,0.0,0.0,0.0,6,5,1,0.0,0.01,0.007,21,4,4,0,0.0,99.32
"Tea, iced, brewed, black, pre-sweetened with sugar",Tea,31,0.0,7.94,7.68,0.0,0.02,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,34,3,18,2,0.0,92.03
"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",Tea,2,0.0,0.68,0.33,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,20,2,0.0,99.32
"Tea, iced, brewed, black, unsweetened",Tea,1,0.0,0.3,0.0,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,20,2,0.0,99.7
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",Tea,31,0.0,7.94,7.68,0.0,0.02,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,34,3,1,0,0.0,92.03
"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",Tea,2,0.0,0.68,0.33,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,1,0,0.0,99.32
"Tea, iced, brewed, black, decaffeinated, unsweetened",Tea,1,0.0,0.3,0.0,0.0,0.0,0.002,0.001,0.004,0,0.0,0.014,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0,1,3,0.02,0.02,0.01,37,3,1,0,0.0,99.7
"Tea, iced, brewed, green, pre-sweetened with sugar",Tea,31,0.2,7.66,7.68,0.0,0.02,0.0,0.0,0.0,0,0.006,0.055,0.028,0.005,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.02,0.01,0.004,8,1,11,0,0.0,92.24
