Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",Coffee,44,1.22,7.66,6.7,0.2,1.01,0.129,0.383,0.454,0,0.012,0.107,1.024,0.013,0,10.9,0.0,0.8,1.14,1.09,121,22,21,0.3,0.14,0.083,94,49,0,0,0.0,89.49
Frozen coffee drink,Coffee,66,1.55,13.41,13.16,0.0,0.93,0.522,0.183,0.041,4,0.027,0.092,0.859,0.028,0,8.7,0.1,0.5,0.02,0.0,59,48,18,0.03,0.21,0.011,91,21,33,0,0.0,83.7
"Frozen coffee drink, nonfat",Coffee,59,1.59,13.4,13.23,0.0,0.1,0.037,0.008,0.017,1,0.026,0.09,0.862,0.027,0,8.7,0.0,0.5,0.0,0.0,62,50,18,0.03,0.22,0.012,95,22,33,0,0.0,84.48
"Frozen coffee drink, with non-dairy milk",Coffee,60,0.7,13.46,12.83,0.1,0.62,0.079,0.218,0.264,0,0.007,0.074,0.919,0.007,0,6.5,0.0,0.5,0.65,0.62,70,13,17,0.18,0.08,0.053,61,30,33,0,0.0,84.82
"Frozen coffee drink, with whipped cream",Coffee,81,1.62,12.85,12.62,0.0,2.8,1.717,0.656,0.122,9,0.027,0.097,0.817,0.029,0,9.2,0.1,0.6,0.06,0.0,59,49,18,0.03,0.21,0.011,91,21,31,0,0.0,82.32
"Frozen coffee drink, nonfat, with whipped cream",Coffee,74,1.66,12.84,12.69,0.0,2.01,1.257,0.49,0.099,7,0.025,0.095,0.819,0.027,0,9.2,0.1,0.6,0.05,0.0,62,50,18,0.03,0.22,0.012,95,22,31,0,0.0,83.06
"Frozen coffee drink, with non-dairy milk and whipped cream",Coffee,75,0.82,12.9,12.3,0.1,2.49,1.294,0.688,0.333,6,0.008,0.08,0.873,0.009,0,7.0,0.1,0.5,0.66,0.59,70,15,17,0.18,0.09,0.051,63,30,31,0,0.0,83.39
"Frozen coffee drink, decaffeinated",Coffee,67,1.56,13.47,13.23,0.0,0.94,0.525,0.184,0.041,4,0.027,0.092,0.837,0.028,0,8.5,0.1,0.5,0.01,0.0,59,48,18,0.02,0.21,0.011,91,21,0,0,0.0,83.63
"Frozen coffee drink, decaffeinated, nonfat",Coffee,59,1.59,13.46,13.3,0.0,0.1,0.036,0.008,0.017,1,0.026,0.089,0.84,0.027,0,8.5,0.0,0.5,0.0,0.0,62,50,18,0.02,0.22,0.012,95,22,0,0,0.0,84.41
"Frozen coffee drink, decaffeinated, with non-dairy milk",Coffee,63,1.21,13.47,12.66,0.1,0.74,0.108,0.176,0.409,0,0.013,0.113,0.981,0.015,0,11.0,0.0,0.5,0.05,0.0,58,21,19,0.22,0.13,0.087,74,25,0,0,0.0,84.21
"Frozen coffee drink, decaffeinated, with whipped cream",Coffee,81,1.62,12.9,12.68,0.0,2.81,1.725,0.66,0.122,10,0.027,0.097,0.796,0.029,0,9.0,0.1,0.6,0.06,0.0,60,49,17,0.03,0.21,0.011,91,21,0,0,0.0,82.25
"Frozen coffee drink, decaffeinated, nonfat, with whipped cream",Coffee,74,1.66,12.89,12.75,0.0,2.02,1.263,0.493,0.099,7,0.026,0.094,0.798,0.027,0,9.0,0.1,0.6,0.05,0.0,62,51,18,0.03,0.22,0.012,95,22,0,0,0.0,82.99
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",Coffee,75,0.82,12.96,12.36,0.1,2.5,1.3,0.691,0.334,6,0.008,0.08,0.853,0.009,0,6.8,0.1,0.5,0.66,0.59,70,15,17,0.18,0.09,0.051,63,30,0,0,0.0,83.32
"Coffee, Cafe Mocha",Coffee,64,2.56,10.23,9.3,0.0,1.47,0.855,0.303,0.058,6,0.041,0.133,0.877,0.043,0,12.9,0.2,0.8,0.02,0.0,96,84,25,0.02,0.38,0.037,149,46,33,15,0.0,85.07
"Coffee, Cafe Mocha, nonfat",Coffee,52,2.6,10.17,9.37,0.0,0.09,0.051,0.013,0.019,2,0.039,0.129,0.903,0.041,0,12.8,0.0,0.8,0.0,0.0,100,87,25,0.02,0.4,0.038,155,47,34,15,0.0,86.41
"Coffee, Cafe Mocha, with non-dairy milk",Coffee,54,1.14,10.3,8.73,0.1,0.94,0.12,0.358,0.425,0,0.012,0.103,0.998,0.013,0,10.5,0.0,0.8,1.06,1.02,113,26,24,0.28,0.18,0.106,99,60,34,15,0.0,86.97
"Coffee, Cafe Mocha, decaffeinated",Coffee,64,2.55,10.23,9.3,0.0,1.47,0.855,0.303,0.058,6,0.041,0.133,0.877,0.043,0,12.6,0.2,0.8,0.02,0.0,96,84,25,0.02,0.38,0.037,149,46,2,15,0.0,85.07
"Coffee, Cafe Mocha, decaffeinated, nonfat",Coffee,52,2.61,10.22,9.42,0.0,0.09,0.051,0.013,0.018,2,0.039,0.129,0.882,0.041,0,12.6,0.0,0.8,0.0,0.0,100,88,25,0.02,0.4,0.038,155,47,2,15,0.0,86.36
"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",Coffee,54,1.15,10.35,8.77,0.1,0.94,0.121,0.359,0.426,0,0.012,0.103,0.977,0.013,0,10.3,0.0,0.8,1.07,1.02,114,26,23,0.28,0.18,0.106,99,60,2,15,0.0,86.91
Frozen mocha coffee drink,Coffee,66,1.5,13.07,12.17,0.0,0.88,0.507,0.178,0.04,4,0.027,0.091,0.849,0.028,0,8.6,0.1,0.5,0.02,0.0,57,52,21,0.02,0.25,0.039,99,34,34,15,0.0,84.06
"Frozen mocha coffee drink, nonfat",Coffee,58,1.54,13.07,12.24,0.0,0.08,0.036,0.008,0.016,1,0.026,0.088,0.851,0.027,0,8.6,0.0,0.5,0.0,0.0,60,54,22,0.02,0.26,0.039,103,35,34,15,0.0,84.82
"Frozen mocha coffee drink, with non-dairy milk",Coffee,59,0.68,13.13,11.85,0.1,0.58,0.077,0.211,0.256,0,0.007,0.073,0.906,0.008,0,6.4,0.0,0.5,0.63,0.6,68,18,21,0.18,0.13,0.079,70,42,33,15,0.0,85.15
"Frozen mocha coffee drink, with whipped cream",Coffee,80,1.57,12.55,11.69,0.0,2.7,1.668,0.638,0.118,9,0.027,0.096,0.808,0.029,0,9.0,0.1,0.5,0.06,0.0,58,52,21,0.03,0.25,0.037,99,34,32,14,0.0,82.7
"Frozen mocha coffee drink, nonfat, with whipped cream",Coffee,73,1.61,12.54,11.76,0.0,1.93,1.221,0.476,0.097,7,0.025,0.094,0.811,0.027,0,9.0,0.1,0.5,0.05,0.0,60,54,21,0.03,0.26,0.038,102,34,32,14,0.0,83.42
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",Coffee,74,0.79,12.6,11.39,0.1,2.4,1.257,0.668,0.324,6,0.008,0.079,0.863,0.009,0,6.9,0.1,0.5,0.64,0.57,68,20,20,0.17,0.13,0.076,71,42,32,14,0.0,83.74
"Frozen mocha coffee drink, decaffeinated",Coffee,66,1.51,13.13,12.23,0.0,0.89,0.509,0.178,0.039,4,0.027,0.091,0.827,0.028,0,8.3,0.1,0.5,0.01,0.0,57,52,21,0.02,0.25,0.039,99,34,2,15,0.0,84.0
"Frozen mocha coffee drink, decaffeinated, nonfat",Coffee,59,1.54,13.12,12.3,0.0,0.08,0.035,0.008,0.016,1,0.026,0.088,0.83,0.027,0,8.3,0.0,0.5,0.0,0.0,60,54,21,0.02,0.26,0.039,103,35,2,15,0.0,84.76
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",Coffee,60,0.68,13.19,11.9,0.1,0.58,0.077,0.212,0.257,0,0.007,0.073,0.886,0.008,0,6.2,0.0,0.5,0.63,0.6,68,18,20,0.18,0.13,0.079,70,43,2,15,0.0,85.09
"Frozen mocha coffee drink, decaffeinated, with whipped cream",Coffee,80,1.58,12.6,11.74,0.0,2.71,1.675,0.641,0.119,9,0.027,0.096,0.788,0.029,0,8.8,0.1,0.5,0.06,0.0,58,53,20,0.02,0.25,0.037,99,34,2,14,0.0,82.64
"Frozen mocha coffee drink, decaffeinated, nonfat, with whipped cream",Coffee,73,1.61,12.59,11.81,0.0,1.94,1.226,0.479,0.097,7,0.025,0.093,0.79,0.027,0,8.8,0.1,0.5,0.05,0.0,60,54,20,0.02,0.26,0.038,102,34,2,14,0.0,83.35
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",Coffee,74,0.79,12.66,11.44,0.1,2.41,1.263,0.671,0.325,6,0.008,0.079,0.843,0.009,0,6.7,0.1,0.5,0.64,0.57,68,20,20,0.17,0.14,0.076,71,42,2,14,0.0,83.68
"Iced Coffee, brewed",Coffee,1,0.09,0.0,0.0,0.0,0.02,0.002,0.011,0.001,0,0.011,0.058,0.146,0.001,0,2.0,0.0,0.0,0.01,0.0,2,2,3,0.01,0.02,0.004,38,2,31,0,0.0,99.51
"Iced Coffee, brewed, decaffeinated",Coffee,0,0.08,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.0,0.17,0.0,0,0.8,0.0,0.0,0.0,0.0,2,1,4,0.04,0.02,0.007,42,2,1,0,0.0,99.44
"Iced Coffee, pre-lightened and pre-sweetened",Coffee,30,0.25,4.94,4.95,0.0,1.12,0.582,0.268,0.046,3,0.011,0.064,0.136,0.003,0,2.8,0.0,0.1,0.01,0.0,7,7,3,0.01,0.03,0.004,42,6,27,0,0.0,93.31
"Coffee, Iced Latte",Coffee,27,1.74,2.82,2.51,0.0,1.01,0.587,0.206,0.046,4,0.031,0.101,0.964,0.032,0,9.8,0.1,0.6,0.02,0.0,66,54,20,0.02,0.23,0.012,102,23,37,0,0.0,93.98
"Coffee, Iced Latte, nonfat",Coffee,19,1.78,2.8,2.6,0.0,0.07,0.041,0.009,0.019,2,0.029,0.098,0.967,0.03,0,9.8,0.0,0.6,0.0,0.0,69,56,21,0.02,0.24,0.013,106,24,37,0,0.0,94.86
"Coffee, Iced Latte, with non-dairy milk",Coffee,20,0.79,2.91,2.17,0.1,0.65,0.089,0.244,0.296,0,0.008,0.081,1.031,0.008,0,7.3,0.0,0.5,0.72,0.7,79,15,20,0.2,0.09,0.059,68,33,37,0,0.0,95.22
"Coffee, Iced Latte, flavored",Coffee,39,1.68,6.1,5.81,0.0,0.98,0.567,0.199,0.044,4,0.029,0.098,0.932,0.031,0,9.5,0.1,0.5,0.02,0.0,64,52,20,0.02,0.22,0.012,99,23,36,0,0.0,90.8
"Coffee, Iced Latte, nonfat, flavored",Coffee,31,1.72,6.09,5.89,0.0,0.08,0.04,0.008,0.018,1,0.028,0.095,0.935,0.029,0,9.5,0.0,0.5,0.0,0.0,67,54,20,0.02,0.23,0.012,103,24,36,0,0.0,91.64
"Coffee, Iced Latte, with non-dairy milk, flavored",Coffee,33,0.76,6.18,5.47,0.1,0.64,0.086,0.236,0.286,0,0.007,0.079,0.996,0.008,0,7.1,0.0,0.5,0.7,0.67,76,14,19,0.2,0.09,0.057,66,32,36,0,0.0,92.0
"Coffee, Iced Latte, decaffeinated",Coffee,27,1.75,2.82,2.53,0.0,1.01,0.589,0.207,0.046,4,0.031,0.101,0.94,0.032,0,9.6,0.1,0.6,0.02,0.0,66,54,20,0.02,0.23,0.012,102,23,0,0,0.0,93.96
"Coffee, Iced Latte, decaffeinated, nonfat",Coffee,19,1.79,2.81,2.61,0.0,0.07,0.041,0.009,0.019,2,0.029,0.098,0.944,0.03,0,9.6,0.0,0.6,0.0,0.0,70,56,20,0.02,0.24,0.012,106,25,0,0,0.0,94.84
"Coffee, Iced Latte, decaffeinated, with non-dairy milk",Coffee,20,0.79,2.92,2.18,0.1,0.65,0.089,0.246,0.298,0,0.008,0.08,1.008,0.008,0,7.1,0.0,0.5,0.73,0.7,79,15,19,0.2,0.09,0.059,68,33,0,0,0.0,95.2
"Coffee, Iced Latte, decaffeinated, flavored",Coffee,40,1.69,6.12,5.84,0.0,0.99,0.569,0.2,0.044,4,0.03,0.098,0.908,0.031,0,9.3,0.1,0.5,0.02,0.0,64,53,19,0.02,0.22,0.012,99,23,0,0,0.0,90.76
"Coffee, Iced Latte, decaffeinated, nonfat, flavored",Coffee,32,1.73,6.12,5.92,0.0,0.08,0.04,0.008,0.018,1,0.028,0.095,0.911,0.029,0,9.3,0.0,0.5,0.0,0.0,67,55,20,0.02,0.23,0.012,103,24,0,0,0.0,91.61
"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",Coffee,33,0.76,6.21,5.5,0.1,0.64,0.086,0.237,0.287,0,0.007,0.078,0.973,0.008,0,6.8,0.0,0.5,0.7,0.68,76,14,19,0.2,0.09,0.057,66,32,0,0,0.0,91.96
"Coffee, Iced Cafe Mocha",Coffee,50,1.58,8.95,7.99,0.0,0.91,0.531,0.186,0.041,4,0.028,0.095,0.889,0.03,0,9.0,0.1,0.5,0.02,0.0,60,55,22,0.02,0.26,0.04,104,35,35,16,0.0,88.07
"Coffee, Iced Cafe Mocha, nonfat",Coffee,43,1.61,8.94,8.07,0.0,0.07,0.037,0.008,0.017,1,0.027,0.092,0.892,0.028,0,9.0,0.0,0.5,0.0,0.0,63,56,23,0.02,0.27,0.041,108,36,35,16,0.0,88.86
"Coffee, Iced Cafe Mocha, with non-dairy milk",Coffee,44,0.72,9.02,7.67,0.1,0.59,0.08,0.221,0.268,0,0.007,0.076,0.95,0.008,0,6.7,0.0,0.5,0.66,0.63,71,19,22,0.18,0.13,0.083,73,44,35,15,0.0,89.2
"Coffee, Iced Cafe Mocha, decaffeinated",Coffee,51,1.58,8.99,8.03,0.0,0.92,0.533,0.187,0.041,4,0.028,0.094,0.867,0.03,0,8.7,0.1,0.5,0.02,0.0,60,55,22,0.02,0.26,0.04,104,36,2,16,0.0,88.02
"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",Coffee,43,1.62,8.98,8.11,0.0,0.06,0.037,0.008,0.017,1,0.027,0.091,0.87,0.028,0,8.7,0.0,0.5,0.0,0.0,63,57,22,0.02,0.27,0.041,108,37,2,16,0.0,88.81
"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",Coffee,44,0.72,9.06,7.71,0.1,0.59,0.08,0.222,0.269,0,0.008,0.075,0.928,0.008,0,6.5,0.0,0.5,0.66,0.63,71,19,21,0.18,0.14,0.083,73,45,2,16,0.0,89.16
"Coffee, instant, reconstituted",Coffee,3,0.1,0.63,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.001,0.236,0.0,0,0.9,0.0,0.0,0.0,0.0,4,3,4,0.04,0.01,0.011,30,4,26,0,0.0,99.09
"Coffee, instant, 50% less caffeine, reconstituted",Coffee,3,0.12,0.61,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.001,0.236,0.0,0,0.9,0.0,0.0,0.0,0.0,4,3,4,0.04,0.01,0.011,30,4,13,0,0.0,99.09
"Coffee, NS as to brewed or instant, decaffeinated",Coffee,0,0.1,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.0,0.222,0.0,0,1.0,0.0,0.0,0.0,0.0,2,1,5,0.05,0.02,0.007,54,2,1,0,0.0,99.3
"Coffee, brewed, decaffeinated",Coffee,0,0.1,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.0,0.222,0.0,0,1.0,0.0,0.0,0.0,0.0,2,1,5,0.05,0.02,0.007,54,2,1,0,0.0,99.3
"Coffee, instant, decaffeinated, reconstituted",Coffee,3,0.1,0.64,0.0,0.0,0.0,0.001,0.0,0.001,0,0.0,0.011,0.235,0.0,0,0.9,0.0,0.0,0.0,0.0,4,2,4,0.03,0.01,0.01,29,4,1,0,0.0,99.09
"Coffee, instant, pre-lightened and pre-sweetened with sugar, reconstituted",Coffee,26,0.15,5.11,3.45,0.0,0.7,0.397,0.203,0.01,0,0.0,0.001,0.223,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,4,0.04,0.01,0.011,42,7,25,0,0.0,93.83
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, reconsitituted",Coffee,26,0.14,5.11,3.45,0.0,0.69,0.397,0.203,0.009,0,0.0,0.011,0.222,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,3,0.04,0.01,0.011,42,7,1,0,0.0,93.83
"Coffee, instant, pre-sweetened with sugar, reconstituted",Coffee,16,0.1,3.96,3.36,0.0,0.02,0.002,0.0,0.002,0,0.0,0.001,0.228,0.0,0,0.8,0.0,0.0,0.0,0.0,4,2,4,0.04,0.01,0.011,29,4,25,0,0.0,95.75
"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, reconstituted",Coffee,44,0.43,6.49,4.32,0.1,1.8,0.737,0.836,0.084,0,0.002,0.002,0.162,0.004,0,2.3,0.0,0.0,0.02,0.0,22,24,6,0.0,0.08,0.041,87,29,26,21,0.0,90.93
"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,15,0.32,2.46,1.14,0.2,0.43,0.371,0.031,0.012,0,0.001,0.004,0.202,0.001,0,0.7,0.0,0.0,0.0,0.0,5,15,6,0.11,0.04,0.028,67,20,6,11,0.0,96.57
"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,16,0.15,2.37,0.6,0.0,0.7,0.409,0.209,0.01,0,0.0,0.001,0.229,0.0,0,0.9,0.0,0.0,0.03,0.0,4,9,4,0.04,0.01,0.011,43,7,26,0,0.0,96.56
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,16,0.15,2.38,0.6,0.0,0.7,0.408,0.209,0.01,0,0.0,0.011,0.229,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,4,0.04,0.01,0.011,43,7,1,0,0.0,96.55
"Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",Coffee,14,0.29,2.33,1.14,0.2,0.43,0.372,0.031,0.011,0,0.001,0.004,0.152,0.001,0,0.5,0.0,0.0,0.0,0.0,5,15,5,0.1,0.04,0.028,61,20,1,11,0.0,96.74
"Coffee, pre-lightened and pre-sweetened with sugar",Coffee,26,0.15,5.11,3.45,0.0,0.7,0.397,0.203,0.01,0,0.0,0.001,0.223,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,4,0.04,0.01,0.011,42,7,25,0,0.0,93.83
"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",Coffee,26,0.14,5.11,3.45,0.0,0.69,0.397,0.203,0.009,0,0.0,0.011,0.222,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,3,0.04,0.01,0.011,42,7,1,0,0.0,93.83
"Coffee, pre-lightened and pre-sweetened with low calorie sweetener",Coffee,16,0.15,2.37,0.6,0.0,0.7,0.409,0.209,0.01,0,0.0,0.001,0.229,0.0,0,0.9,0.0,0.0,0.03,0.0,4,9,4,0.04,0.01,0.011,43,7,26,0,0.0,96.56
"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",Coffee,16,0.15,2.38,0.6,0.0,0.7,0.408,0.209,0.01,0,0.0,0.011,0.229,0.0,0,0.9,0.0,0.0,0.03,0.0,4,8,4,0.04,0.01,0.011,43,7,1,0,0.0,96.56
"Coffee, pre-lightened",Coffee,14,0.15,1.88,0.17,0.0,0.71,0.411,0.21,0.01,0,0.0,0.001,0.231,0.0,0,0.9,0.0,0.0,0.03,0.0,4,9,4,0.04,0.01,0.011,43,7,26,0,0.0,97.04
"Coffee, decaffeinated, pre-lightened",Coffee,14,0.15,1.89,0.17,0.0,0.71,0.411,0.21,0.01,0,0.0,0.011,0.23,0.0,0,0.9,0.0,0.0,0.03,0.0,4,9,4,0.04,0.01,0.011,43,7,1,0,0.0,97.03
"Coffee, pre-sweetened with sugar",Coffee,16,0.1,3.96,3.36,0.0,0.02,0.002,0.0,0.002,0,0.0,0.001,0.228,0.0,0,0.8,0.0,0.0,0.0,0.0,4,2,4,0.04,0.01,0.011,29,4,25,0,0.0,95.75
"Coffee, decaffeinated, pre-sweetened with sugar",Coffee,16,0.09,3.97,3.36,0.0,0.01,0.001,0.0,0.001,0,0.0,0.012,0.227,0.0,0,0.8,0.0,0.0,0.0,0.0,4,2,3,0.03,0.01,0.01,28,4,1,0,0.0,95.75
"Coffee, pre-sweetened with low calorie sweetener",Coffee,5,0.1,1.13,0.45,0.0,0.0,0.002,0.0,0.002,0,0.0,0.001,0.235,0.0,0,0.8,0.0,0.0,0.0,0.0,4,3,4,0.04,0.01,0.011,29,4,26,0,0.0,98.59
"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",Coffee,5,0.1,1.14,0.45,0.0,0.0,0.001,0.0,0.001,0,0.0,0.011,0.234,0.0,0,0.8,0.0,0.0,0.0,0.0,4,2,4,0.03,0.01,0.01,29,4,1,0,0.0,98.59
"Coffee and chicory, brewed",Coffee,1,0.12,0.0,0.0,0.0,0.02,0.002,0.015,0.001,0,0.014,0.076,0.191,0.001,0,2.6,0.0,0.0,0.01,0.0,2,3,3,0.01,0.02,0.002,49,2,40,0,0.0,99.39
"Coffee and chicory, brewed, decaffeinated",Coffee,0,0.1,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.0,0.222,0.0,0,1.0,0.0,0.0,0.0,0.0,2,1,5,0.05,0.02,0.007,54,2,1,0,0.0,99.3
"Coffee, Cappuccino",Coffee,27,1.71,2.76,2.46,0.0,0.99,0.575,0.201,0.045,4,0.027,0.099,0.945,0.028,0,8.7,0.1,0.6,0.02,0.0,65,53,20,0.02,0.23,0.012,100,23,36,0,0.0,94.1
"Coffee, Cappuccino, nonfat",Coffee,19,1.75,2.75,2.54,0.0,0.07,0.04,0.009,0.019,2,0.026,0.096,0.948,0.027,0,8.7,0.0,0.6,0.0,0.0,68,55,20,0.02,0.24,0.013,104,24,36,0,0.0,94.96
"Coffee, Cappuccino, with non-dairy milk",Coffee,20,0.78,2.86,2.14,0.1,0.64,0.087,0.241,0.292,0,0.008,0.079,1.006,0.008,0,7.2,0.0,0.5,0.71,0.68,77,14,19,0.2,0.09,0.058,67,33,36,0,0.0,95.29
"Coffee, Cappuccino, decaffeinated",Coffee,27,1.71,2.77,2.48,0.0,0.99,0.577,0.202,0.045,4,0.027,0.099,0.921,0.028,0,8.5,0.1,0.6,0.02,0.0,65,53,20,0.02,0.23,0.012,100,23,0,0,0.0,94.08
"Coffee, Cappuccino, decaffeinated, nonfat",Coffee,19,1.75,2.76,2.56,0.0,0.07,0.04,0.009,0.018,2,0.026,0.096,0.924,0.027,0,8.5,0.0,0.6,0.0,0.0,68,55,20,0.02,0.24,0.013,104,24,0,0,0.0,94.94
"Coffee, Cappuccino, decaffeinated, with non-dairy milk",Coffee,20,0.78,2.87,2.15,0.1,0.64,0.087,0.242,0.293,0,0.008,0.079,0.983,0.008,0,6.9,0.0,0.5,0.72,0.69,78,14,19,0.2,0.09,0.058,66,33,0,0,0.0,95.28
"Coffee, bottled/canned",Coffee,71,1.98,12.6,10.67,0.0,1.38,0.0,0.293,0.038,5,0.043,0.193,1.32,0.0,0,0.0,0.0,0.0,0.01,0.0,74,59,9,0.04,0.26,0.002,175,26,28,0,0.0,83.56
"Coffee, bottled/canned, light",Coffee,35,1.27,5.91,5.91,0.0,0.7,0.397,0.152,0.021,3,0.029,0.095,0.155,0.022,0,8.1,0.1,0.4,0.02,0.0,46,39,6,0.01,0.17,0.002,86,15,24,0,0.0,91.57
"Coffee, instant, not reconstituted",Not included in a food category,353,12.2,75.4,0.0,0.0,0.5,0.197,0.041,0.196,0,0.008,0.074,28.173,0.029,0,101.9,0.0,0.0,0.0,0.0,141,303,327,4.41,0.35,0.139,3535,37,3142,0,0.0,3.1
"Coffee, instant, 50% less caffeine, not reconstituted",Not included in a food category,352,14.42,73.18,0.0,0.0,0.5,0.197,0.041,0.196,0,0.008,0.074,28.173,0.029,0,101.9,0.0,0.0,0.0,0.0,141,303,327,4.41,0.35,0.139,3535,37,1571,0,0.0,3.1
"Coffee, instant, decaffeinated, not reconstituted",Not included in a food category,351,11.6,76.0,0.0,0.0,0.2,0.101,0.021,0.101,0,0.0,1.36,28.075,0.0,0,101.9,0.0,0.0,0.0,0.0,140,286,311,3.8,0.11,0.069,3501,23,122,0,0.0,3.2
"Coffee, instant, pre-sweetened with sugar, not reconstituted",Not included in a food category,379,2.36,94.92,80.48,0.0,0.36,0.038,0.008,0.038,0,0.002,0.03,5.453,0.006,0,19.7,0.0,0.0,0.0,0.0,28,59,64,0.89,0.08,0.033,686,8,608,0,0.0,0.62
"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",Not included in a food category,460,5.29,74.04,58.2,1.9,15.87,4.934,8.934,1.053,0,0.031,0.028,2.263,0.055,0,31.3,0.6,0.0,0.0,0.0,271,251,68,0.0,0.96,0.435,1033,317,360,294,0.0,1.7
"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",Not included in a food category,435,9.2,71.64,32.84,4.5,12.43,10.694,0.898,0.34,0,0.02,0.107,6.09,0.03,0,22.0,0.0,0.0,0.08,0.0,65,442,135,3.14,0.97,0.534,1958,472,215,304,0.0,3.1
"Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetend with low calorie sweetener, not reconstituted",Not included in a food category,440,9.0,71.4,34.98,4.8,13.21,11.376,0.954,0.349,0,0.021,0.109,4.655,0.03,0,16.8,0.0,0.0,0.09,0.0,60,451,122,3.06,1.01,0.56,1856,500,25,324,0.0,3.1
"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted",Not included in a food category,429,2.4,82.96,56.07,0.0,11.29,6.453,3.294,0.162,0,0.001,0.02,3.622,0.004,0,13.9,0.0,0.0,0.42,0.0,19,136,43,0.68,0.07,0.028,680,47,404,0,0.0,1.41
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted",Not included in a food category,465,0.0,86.28,66.67,0.0,13.33,13.333,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,57,333,0,0,0.0,0.16
"Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",Not included in a food category,509,1.96,59.94,59.0,0.5,29.1,25.128,1.705,0.576,0,0.0,0.0,0.188,0.0,0,0.7,0.0,0.0,0.26,0.0,18,135,2,0.06,0.02,0.011,909,0,21,0,0.0,6.16
"Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted",Not included in a food category,457,4.22,68.16,17.26,0.0,20.14,11.711,5.984,0.273,0,0.0,0.318,6.563,0.0,0,25.2,0.0,0.0,0.77,0.0,34,243,73,1.05,0.07,0.027,1227,81,29,0,0.0,3.94
Coffee substitute,Coffee,6,0.1,1.3,0.08,0.4,0.04,0.01,0.006,0.02,0,0.007,0.002,0.294,0.012,0,0.2,0.0,0.0,0.02,0.0,4,10,5,0.08,0.01,0.013,41,5,0,0,0.0,98.37
Chicory beverage,Coffee,7,0.22,1.42,0.0,0.0,0.0,0.002,0.0,0.002,0,0.0,0.025,0.524,0.0,0,1.9,0.0,0.0,0.0,0.0,6,5,7,0.07,0.01,0.011,65,4,2,0,0.0,98.1
