Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Potato, baked, peel not eaten, with chili","White potatoes, baked or boiled",142,4040,17970,1560,1600,6180,3572,17,1.147,0,16,9.4,0.25,61,84,25,333,274,0,0,0,70140
"Potato, baked, peel not eaten, with vegetables","White potatoes, baked or boiled",141,3680,18090,1500,1400,6300,3767,17,1.17,0,14.9,12.7,0.27,64,81,23,334,229,0,0,0,70360
"Potato, baked, peel eaten","White potatoes, baked or boiled",93,2490,21050,1180,2200,130,34,0,1.404,0,14.7,9.6,0.04,15,70,28,533,186,0,0,0,74550
"Potato, baked, peel eaten, with butter","White potatoes, baked or boiled",124,2410,20010,1120,2100,4160,2589,11,1.336,0,14.9,9.1,0.15,16,67,27,507,208,0,0,0,71640
"Potato, baked, peel eaten, with sour cream","White potatoes, baked or boiled",130,2410,18620,1330,1900,5540,3273,15,1.223,0,15.3,8.3,0.17,23,68,25,473,192,0,0,0,71770
"Potato, baked, peel eaten, with cheese","White potatoes, baked or boiled",152,4040,17360,1250,1700,7760,4514,22,1.132,0,15.4,7.7,0.22,77,99,25,442,228,0,0,0,69030
"Potato, baked, peel eaten, with meat","White potatoes, baked or boiled",159,4690,17020,1220,1700,8350,4677,23,1.335,0,17,7.5,0.22,75,105,25,443,260,0,0,0,68040
"Potato, baked, peel eaten, with chili","White potatoes, baked or boiled",142,4430,17680,1180,2100,6200,3578,17,1.158,0,16.2,7.1,0.25,68,99,27,439,278,0,0,0,69750
"Potato, baked, peel eaten, with vegetables","White potatoes, baked or boiled",141,4120,17760,1080,2000,6320,3774,17,1.183,0,15.1,10.1,0.27,72,98,26,452,233,0,0,0,69930
"Potato salad with egg, from restaurant",Mashed potatoes and white potato mixtures,175,3040,15360,1800,1100,11350,1972,51,0.959,0,50.3,8.8,0.6,12,59,19,286,333,0,0,0,68470
"Potato salad with egg, made with mayonnaise",Mashed potatoes and white potato mixtures,157,1960,16180,4950,1300,9400,1437,17,0.8,0,18.2,0.8,0.68,15,53,15,242,329,0,0,0,70990
"Potato salad with egg, made with light mayonnaise",Mashed potatoes and white potato mixtures,111,2720,15120,1680,1300,4460,885,46,0.881,0,44.7,5,0.45,14,51,16,244,204,0,0,0,76490
"Potato salad with egg, made with mayonnaise-type salad dressing",Mashed potatoes and white potato mixtures,112,2770,15900,2560,1300,4320,871,46,0.883,0,45.5,5,0.36,14,51,16,246,178,0,0,0,75850
"Potato salad with egg, made with light mayonnaise-type salad dressing",Mashed potatoes and white potato mixtures,111,2720,15120,1680,1300,4460,885,46,0.881,0,44.7,5,0.45,14,51,16,244,204,0,0,0,76490
"Potato salad with egg, made with creamy dressing",Mashed potatoes and white potato mixtures,142,2940,14880,1540,1300,7910,1441,49,0.921,0,50,5.3,0.47,17,77,16,259,201,0,0,0,73130
"Potato salad with egg, made with light creamy dressing",Mashed potatoes and white potato mixtures,102,2960,15010,1700,1300,3460,734,45,0.914,0,47.5,5.3,0.51,14,50,16,254,193,0,0,0,77280
"Potato salad with egg, made with Italian dressing",Mashed potatoes and white potato mixtures,113,2810,15800,2410,1300,4420,846,46,0.935,0,45.7,5.3,0.46,15,52,16,262,212,0,0,0,75770
"Potato salad with egg, made with light Italian dressing",Mashed potatoes and white potato mixtures,94,2800,15480,2200,1300,2350,542,46,0.927,0,45.7,5.3,0.77,16,51,16,263,199,0,0,0,78180
"Potato salad with egg, made with any type of fat free dressing",Mashed potatoes and white potato mixtures,89,2670,15990,2690,1600,1740,488,44,0.872,0,43.1,5,0.15,14,49,15,245,204,0,0,0,78250
"Potato salad, German style",Mashed potatoes and white potato mixtures,108,2920,17160,1460,1900,3220,1199,5,1.376,0,15.3,7.8,0.07,17,67,24,446,180,0,0,0,74820
"Potato salad, from restaurant",Mashed potatoes and white potato mixtures,178,1730,17320,1900,1300,11450,1794,6,1.082,0,16.8,10,0.54,7,44,20,308,361,0,0,0,67630
"Potato salad, made with mayonnaise",Mashed potatoes and white potato mixtures,168,1520,15800,1290,1500,11140,1746,6,1,0,15.6,5.8,0.51,10,36,16,261,178,0,0,0,70340
"Potato salad, made with light mayonnaise",Mashed potatoes and white potato mixtures,105,1420,16960,1750,1500,3650,571,3,0.989,0,11.8,5.7,0.38,10,35,16,260,215,0,0,0,76740
"Potato salad, made with mayonnaise-type salad dressing",Mashed potatoes and white potato mixtures,106,1470,17850,2750,1500,3490,554,3,0.991,0,12.7,5.7,0.27,10,35,16,261,185,0,0,0,76010
"Potato salad, made with light mayonnaise-type salad dressing",Mashed potatoes and white potato mixtures,105,1420,16960,1750,1500,3650,571,3,0.989,0,11.8,5.7,0.38,10,35,16,260,215,0,0,0,76740
"Potato salad, made with creamy dressing",Mashed potatoes and white potato mixtures,140,1590,16790,1600,1500,7530,1187,4,1.041,0,16.1,6,0.39,13,64,17,277,212,0,0,0,72920
"Potato salad, made with light creamy dressing",Mashed potatoes and white potato mixtures,95,1620,16940,1780,1500,2470,382,0,1.032,0,13.3,6,0.44,9,34,16,272,202,0,0,0,77650
"Potato salad, made with Italian dressing",Mashed potatoes and white potato mixtures,108,1440,17850,2590,1500,3560,507,0,1.057,0,11,6.1,0.38,10,35,17,282,224,0,0,0,75930
"Potato salad, made with light Italian dressing",Mashed potatoes and white potato mixtures,85,1440,17480,2350,1500,1200,162,0,1.047,0,11.1,6,0.73,11,34,17,282,210,0,0,0,78680
"Potato salad, made with any type of fat free dressing",Mashed potatoes and white potato mixtures,81,1380,17930,2900,1800,580,125,2,0.977,0,10.4,5.6,0.04,10,33,16,260,214,0,0,0,78730
Potato pancake,Mashed potatoes and white potato mixtures,194,4480,20560,1140,2200,10710,1775,60,1.219,0.006,52.3,15.6,1.24,23,93,26,448,404,0,0,0,61990
Lefse (Norwegian),Mashed potatoes and white potato mixtures,217,4220,36120,2290,2000,6160,2929,12,2.354,0.029,13.7,4.8,0.56,17,64,20,263,176,0,0,0,52410
Stewed potatoes,Mashed potatoes and white potato mixtures,114,1840,19910,1880,1400,3220,451,0,1.251,0,13.4,11.8,0.4,6,47,23,360,149,0,0,0,73760
Stewed potatoes with tomatoes,Mashed potatoes and white potato mixtures,94,1610,15400,2310,1400,3170,442,0,1.063,0,11.5,12.7,0.56,8,42,20,334,147,0,0,0,78650
"Potato soup, NS as to made with milk or water",Soups,50,1600,7670,1960,700,1450,782,3,0.244,0,8.4,0.1,0.04,41,47,10,123,315,0,0,0,88150
"Potato soup, cream of, prepared with milk",Soups,62,2420,8830,3170,600,1940,1067,5,0.27,0,12.4,0.1,0.05,71,72,13,161,321,0,0,0,85520
"Potato soup, prepared with water",Soups,38,770,6490,730,700,950,492,1,0.218,0,4.4,0.1,0.04,10,21,7,84,308,0,0,0,90820
Potato and cheese soup,Soups,74,2740,8540,1540,1000,3360,1324,7,0.55,0.001,8.5,5.9,0.24,60,61,13,203,309,0,0,0,83960
Potato chowder,Soups,90,3920,8590,4130,600,4570,2129,12,0.58,0,18.3,3.6,0.08,97,102,16,232,312,0,0,0,81320
"Plantain soup, Puerto Rican style",Soups,40,2330,7150,3890,400,470,196,0,1.542,0,8.2,3.9,0,11,30,12,205,665,0,0,0,87900
"Plantain, cooked, no added fat",Other starchy vegetables,122,1300,31800,17460,1700,350,0,0,0.636,0,13.5,15.6,0,3,32,36,486,120,0,0,0,65010
"Plantain, cooked with oil",Other starchy vegetables,144,1260,30870,16950,1600,3240,397,0,0.618,0,13.1,15.1,0.34,3,31,35,471,116,0,0,0,63120
"Plantain, cooked, fat added, NS as to fat type",Other starchy vegetables,141,1270,30880,16950,1600,2880,721,2,0.618,0,13.3,15.1,0.3,3,31,35,472,126,0,0,0,63450
"Plantain, cooked with butter or margarine",Other starchy vegetables,137,1270,30880,16950,1600,2510,1045,4,0.619,0,13.5,15.1,0.25,4,32,35,472,136,0,0,0,63780
Plantain chips,"Tortilla, corn, other chips",531,2280,63840,920,3500,29590,8337,0,0.802,0,0,32.1,5.04,9,78,71,786,202,0,0,0,2090
"Green banana, cooked in salt water",Other starchy vegetables,122,1300,31800,17460,1700,350,0,0,0.636,0,13.5,15.6,0,3,32,36,486,120,0,0,0,65010
"Green banana, fried",Other starchy vegetables,144,1260,30870,16950,1600,3240,397,0,0.618,0,13.1,15.1,0.34,3,31,35,471,116,0,0,0,63120
"Cassava, cooked",Other starchy vegetables,191,1420,39620,1770,1900,3020,852,2,0.845,0,24.9,18.2,0.52,17,28,22,282,146,0,0,0,54950
Yuca fries,Fried vegetables,267,1240,34720,1550,1600,13940,1939,0,0.74,0,21.6,15,1.78,15,25,19,247,154,0,0,0,49180
"Casabe, cassava bread","Biscuits, muffins, quick breads",299,2540,71220,3180,3400,520,138,0,1.518,0,44.3,28.9,0.36,31,51,39,507,1185,0,0,0,21570
"Yam, cooked, Puerto Rican",Other starchy vegetables,116,1490,27400,490,3900,140,29,0,0.55,0,16.2,12.1,0.34,14,49,18,668,124,0,0,0,69920
Yam buns; Puerto Rican style,"Biscuits, muffins, quick breads",301,3470,29770,730,3500,19000,3071,35,0.929,0.009,38.8,9.1,2.44,25,74,19,588,274,0,0,0,46310
"Tannier, cooked",Other starchy vegetables,141,1570,27550,420,4300,2940,818,2,0.594,0,18.3,4,2.8,45,88,34,616,143,0,0,0,66360
"Celeriac, cooked",Other starchy vegetables,68,1570,9580,1670,1900,3040,857,2,0.693,0,9.6,7.1,0.69,45,120,21,313,235,0,0,0,84430
"Dasheen, cooked",Other starchy vegetables,141,1570,27550,420,4300,2940,818,2,0.594,0,18.3,4,2.8,45,88,34,616,143,0,0,0,66360
"Taro, cooked",Other starchy vegetables,141,1570,27550,420,4300,2940,818,2,0.594,0,18.3,4,2.8,45,88,34,616,143,0,0,0,66360
Fufu,Other starchy vegetables,166,1500,33590,1090,3100,2980,835,2,0.719,0,21.6,11.1,1.66,31,58,28,449,144,0,0,0,60650
Poi,Other starchy vegetables,120,1610,28450,430,4400,220,44,0,0.613,0,18.6,4.1,2.56,46,90,35,635,12,0,0,0,68430
Taro chips,"Tortilla, corn, other chips",498,2300,68100,3820,7200,24900,6430,0,0.515,0,44.3,5,11.34,60,131,84,755,342,0,0,0,2000
"Beet greens, cooked",Other dark green vegetables,47,2300,4510,520,3900,2860,796,2,0.396,0,0.7,21.9,1.88,122,43,73,794,366,0,0,0,87570
"Broccoli raab, cooked",Broccoli,46,3200,2880,380,2700,3140,835,2,1.17,0,18.7,14.3,1.94,109,74,22,198,160,0,0,0,89500
"Chard, cooked",Other dark green vegetables,44,1880,3900,1150,1700,2940,806,2,0.396,0,19,21.9,2.28,54,48,84,395,353,0,0,0,89280
"Collards, fresh, cooked, no added fat",Other dark green vegetables,34,3240,5810,490,4300,650,59,0,0.756,0,24.9,26.5,2.42,249,27,29,228,143,0,0,0,88550
"Collards, frozen, cooked, no added fat",Other dark green vegetables,36,2960,7080,570,2800,410,60,0,0.633,0,45,26.3,1.25,210,27,30,250,166,0,0,0,88210
"Collards, canned, cooked, no added fat",Other dark green vegetables,19,1350,2790,420,1300,300,69,0,0.357,0,0.3,14.6,1.46,117,21,20,140,336,0,0,0,93940
"Collards, NS as to form, cooked",Other dark green vegetables,57,3150,5650,480,4200,3360,832,2,0.734,0,24.4,25.7,2.67,242,26,28,222,149,0,0,0,86120
"Collards, fresh, cooked, fat added, NS as to fat type",Other dark green vegetables,57,3150,5650,480,4200,3360,832,2,0.734,0,24.4,25.7,2.67,242,26,28,222,149,0,0,0,86120
"Collards, frozen, cooked, fat added, NS as to fat type",Other dark green vegetables,57,2880,6880,550,2700,2930,779,2,0.615,0,43.9,25.6,1.51,204,26,29,243,170,0,0,0,85970
"Collards, canned, cooked, fat added, NS as to fat type",Other dark green vegetables,41,1320,2710,400,1300,2810,785,2,0.347,0,0.5,14.2,1.71,114,21,19,136,336,0,0,0,91550
"Collards, fresh, cooked with oil",Other dark green vegetables,61,3140,5640,480,4200,3760,484,0,0.734,0,24.2,25.7,2.72,242,26,28,222,139,0,0,0,85760
"Collards, fresh, cooked with butter or margarine",Other dark green vegetables,54,3160,5650,480,4200,2970,1180,4,0.735,0,24.6,25.7,2.62,242,27,28,223,159,0,0,0,86470
"Collards, frozen, cooked with oil",Other dark green vegetables,61,2880,6870,550,2700,3300,455,0,0.615,0,43.7,25.6,1.55,203,26,29,243,161,0,0,0,85640
"Collards, frozen, cooked with butter or margarine",Other dark green vegetables,54,2890,6880,550,2700,2570,1103,4,0.616,0,44.1,25.6,1.46,204,27,29,244,180,0,0,0,86300
"Collards, canned, cooked with oil",Other dark green vegetables,44,1310,2710,400,1300,3180,463,0,0.347,0,0.3,14.2,1.76,114,20,19,136,326,0,0,0,91230
"Collards, canned, cooked with butter or margarine",Other dark green vegetables,37,1330,2720,410,1300,2450,1107,4,0.348,0,0.7,14.2,1.67,115,21,19,137,345,0,0,0,91880
"Cress, cooked",Other dark green vegetables,57,2720,5730,4580,1100,3460,799,2,0.989,0,20.5,50.3,1.05,85,79,40,631,146,0,0,0,85890
"Dandelion greens, cooked",Other dark green vegetables,71,2820,9580,740,3600,3460,952,2,0.798,0,37,25.5,3.9,195,69,38,414,210,0,0,0,81930
"Caesar salad, with romaine, no dressing",Lettuce and lettuce salads,74,4230,6780,1230,1800,3570,1666,8,0.496,0.003,10.5,4,0.18,114,89,17,244,225,0,0,0,84120
"Escarole, cooked",Other dark green vegetables,37,1120,2980,220,2700,2710,762,2,0.302,0,15.1,3.2,0.68,45,22,13,238,140,0,0,0,91610
"Greens, fresh, cooked, no added fat",Other dark green vegetables,34,2970,5160,740,4200,970,106,0,0.906,0,10.2,46.6,1.66,235,43,31,302,159,0,0,0,89100
"Greens, frozen, cooked, no added fat",Other dark green vegetables,34,2920,5750,780,2700,710,98,0,0.508,0,18.3,21.2,1.54,169,33,26,194,146,0,0,0,89460
"Greens, canned, cooked, no added fat",Other dark green vegetables,19,1350,2790,420,1300,300,69,0,0.357,0,0.3,14.6,1.46,117,21,20,140,336,0,0,0,93940
"Greens, NS as to form, cooked",Other dark green vegetables,54,2890,5020,720,4100,3400,801,2,0.881,0,10.2,45.3,1.9,228,43,30,294,164,0,0,0,86900
"Greens, fresh, cooked, fat added",Other dark green vegetables,54,2890,5020,720,4100,3400,801,2,0.881,0,10.2,45.3,1.9,228,43,30,294,164,0,0,0,86900
"Greens, frozen, cooked, fat added",Other dark green vegetables,55,2840,5590,760,2600,3230,816,2,0.494,0,18,20.6,1.79,164,33,25,188,151,0,0,0,87190
"Greens, canned, cooked, fat added",Other dark green vegetables,41,1320,2710,400,1300,2810,785,2,0.347,0,0.5,14.2,1.71,114,21,19,136,336,0,0,0,91550
"Kale, fresh, cooked, no added fat",Other dark green vegetables,38,3130,4740,860,4400,1600,191,0,1.202,0,0.5,70.1,0.71,272,59,35,373,181,0,0,0,88530
"Kale, frozen, cooked, no added fat",Other dark green vegetables,36,2930,5280,1120,2300,1210,158,0,0.456,0,0.5,17.7,1.6,150,42,25,144,132,0,0,0,89530
"Kale, canned, cooked, no added fat",Other dark green vegetables,19,1350,2790,420,1300,300,69,0,0.357,0,0.3,14.6,1.46,117,21,20,140,336,0,0,0,93940
"Kale, NS as to form, cooked",Other dark green vegetables,61,3050,4610,830,4300,4280,960,2,1.167,0,0.8,68.1,1,265,58,34,363,186,0,0,0,86090
"Kale, fresh, cooked, fat added",Other dark green vegetables,61,3050,4610,830,4300,4280,960,2,1.167,0,0.8,68.1,1,265,58,34,363,186,0,0,0,86090
"Kale, frozen, cooked, fat added",Other dark green vegetables,57,2850,5140,1080,2200,3710,874,2,0.443,0,0.7,17.2,1.85,146,41,24,140,138,0,0,0,87260
"Kale, canned, cooked, fat added",Other dark green vegetables,41,1320,2710,400,1300,2810,785,2,0.347,0,0.5,14.2,1.71,114,21,19,136,336,0,0,0,91550
"Lambsquarter, cooked",Other dark green vegetables,53,3110,4850,600,2000,3210,771,2,0.872,0,0.7,35.8,2.09,250,44,22,279,150,0,0,0,86390
"Mustard cabbage, cooked",Other dark green vegetables,38,1570,2280,1230,1000,2940,803,2,0.495,0,6.9,32.8,0.41,110,39,20,263,199,0,0,0,92050
"Mustard greens, fresh, cooked, no added fat",Other dark green vegetables,29,3070,5010,1420,3400,450,11,0,0.815,0,0.5,52.5,2.15,123,62,34,412,146,0,0,0,89710
"Mustard greens, frozen, cooked, no added fat",Other dark green vegetables,19,2260,3100,320,2800,250,13,0,0.257,0,0.3,13.8,1.35,101,24,13,139,141,0,0,0,93520
"Mustard greens, canned, cooked, no added fat",Other dark green vegetables,19,1350,2790,420,1300,300,69,0,0.357,0,0.3,14.6,1.46,117,21,20,140,336,0,0,0,93940
"Mustard greens, NS as to form, cooked",Other dark green vegetables,52,2990,4870,1380,3300,3160,786,2,0.792,0,0.8,51,2.41,120,61,33,400,152,0,0,0,87240
"Mustard greens, fresh, cooked, fat added",Other dark green vegetables,52,2990,4870,1380,3300,3160,786,2,0.792,0,0.8,51,2.41,120,61,33,400,152,0,0,0,87240
"Mustard greens, frozen, cooked, fat added",Other dark green vegetables,41,2210,3020,310,2700,2780,733,2,0.25,0,0.5,13.4,1.6,98,24,13,135,146,0,0,0,91130
"Mustard greens, canned, cooked, fat added",Other dark green vegetables,41,1320,2710,400,1300,2810,785,2,0.347,0,0.5,14.2,1.71,114,21,19,136,336,0,0,0,91550
"Poke greens, cooked",Other dark green vegetables,42,2240,3010,1550,1500,2920,810,2,1.065,0,0.5,79.4,1.12,52,32,14,178,139,0,0,0,90260
"Spinach, fresh, cooked, no added fat",Spinach,27,3360,4260,490,2600,460,74,0,0.807,0,22.6,23.1,2.38,116,57,93,655,229,0,0,0,89560
"Spinach, frozen, cooked, no added fat",Spinach,34,4000,4790,510,3700,870,157,0,0.438,0,24.7,2.2,3.53,153,50,82,301,212,0,0,0,88680
"Spinach, canned, cooked, no added fat",Spinach,23,2810,3400,400,2400,500,81,0,0.388,0,18.4,13.6,1.94,127,44,76,346,322,0,0,0,91780
"Spinach, fresh, cooked with oil",Spinach,56,3260,4130,480,2500,3860,539,0,0.783,0,22,22.4,2.71,113,56,90,636,222,0,0,0,86450
"Spinach, fresh, cooked with butter or margarine",Spinach,49,3280,4150,480,2500,3000,1301,4,0.784,0,22.5,22.4,2.61,114,56,90,636,245,0,0,0,87220
"Spinach, NS as to form, cooked",Spinach,53,3270,4140,480,2500,3430,920,2,0.784,0,22.3,22.4,2.66,113,56,90,636,234,0,0,0,86840
"Spinach, fresh, cooked, fat added, NS as to fat type",Spinach,53,3270,4140,480,2500,3430,920,2,0.784,0,22.3,22.4,2.66,113,56,90,636,234,0,0,0,86840
"Spinach, frozen, cooked, fat added, NS as to fat type",Spinach,55,3890,4650,490,3600,3380,873,2,0.425,0,24.2,2.1,3.72,149,49,79,293,216,0,0,0,86430
"Spinach, canned, cooked, fat added, NS as to fat type",Spinach,45,2740,3310,390,2300,3030,802,2,0.377,0,18.1,13.2,2.18,124,43,74,336,322,0,0,0,89440
"Spinach, frozen, cooked with oil",Spinach,59,3880,4650,490,3600,3750,549,0,0.425,0,24,2.1,3.77,148,48,79,292,206,0,0,0,86100
"Spinach, frozen, cooked with butter or margarine",Spinach,52,3900,4660,500,3600,3010,1196,4,0.426,0,24.5,2.1,3.68,149,49,79,293,226,0,0,0,86760
"Spinach, canned, cooked with oil",Spinach,48,2730,3300,390,2300,3400,477,0,0.377,0,17.9,13.2,2.22,123,43,74,336,313,0,0,0,89110
"Spinach, canned, cooked with butter or margarine",Spinach,42,2740,3310,390,2300,2660,1126,4,0.378,0,18.3,13.2,2.13,124,43,74,337,332,0,0,0,89770
"Spinach, creamed",Spinach,86,2480,6650,760,1600,6030,3715,18,0.495,0,16.2,14,1.58,82,44,57,409,431,0,0,0,82570
Spinach souffle,Vegetable dishes,126,5700,7100,2450,1100,8490,4451,100,0.418,0.005,78.7,0.6,1.26,102,99,29,175,168,0,0,0,77530
Spinach and cheese casserole,Vegetable dishes,129,7020,9910,1050,2800,7440,3887,18,0.818,0.007,20.5,1.1,2.45,244,131,63,250,308,0,0,0,73610
Palak Paneer,Vegetable dishes,97,5220,4310,1890,1200,6990,1519,7,0.369,0,13.4,8.8,1.42,70,79,33,269,221,0,0,0,82030
Channa Saag,Vegetable dishes,85,4070,9540,1810,3400,4170,563,0,0.665,0,23.7,15,2.08,90,75,71,501,250,0,0,0,80200
"Taro leaves, cooked",Other dark green vegetables,68,5190,6980,3130,3900,3500,932,2,1.497,0,13.6,37.9,2.42,112,63,47,675,134,0,0,0,81990
"Thistle leaves, cooked",Other dark green vegetables,57,2720,5730,4580,1100,3460,799,2,0.989,0,20.5,50.3,1.05,85,79,40,631,146,0,0,0,85890
"Turnip greens, fresh, cooked, no added fat",Other dark green vegetables,20,1140,4350,530,3500,230,53,0,0.41,0,0.3,27.3,1.87,137,29,22,202,145,0,0,0,92920
"Turnip greens, frozen, cooked, no added fat",Other dark green vegetables,29,3340,4960,750,3400,420,99,0,0.467,0,0.5,21.7,2.65,152,34,26,223,131,0,0,0,90130
"Turnip greens, canned, cooked, no added fat",Other dark green vegetables,19,1350,2790,420,1300,300,69,0,0.357,0,0.3,14.6,1.46,117,21,20,140,336,0,0,0,93940
"Turrnip greens, NS as to form, cooked",Other dark green vegetables,42,1110,4230,510,3400,2760,772,2,0.398,0,0.5,26.5,2.12,133,28,21,197,150,0,0,0,90550
"Turnip greens, fresh, cooked, fat added",Other dark green vegetables,42,1110,4230,510,3400,2760,772,2,0.398,0,0.5,26.5,2.12,133,28,21,197,150,0,0,0,90550
"Turnip greens, frozen, cooked, fat added",Other dark green vegetables,51,3250,4830,730,3300,2940,817,2,0.454,0,0.7,21.1,2.87,148,33,25,217,137,0,0,0,87840
"Turnip greens, canned, cooked, fat added",Other dark green vegetables,41,1320,2710,400,1300,2810,785,2,0.347,0,0.5,14.2,1.71,114,21,19,136,336,0,0,0,91550
"Turnip greens, canned, reduced sodium, cooked, no added fat",Other dark green vegetables,19,1360,2810,420,1300,300,70,0,0.36,0,0.3,14.7,1.47,118,21,20,141,29,0,0,0,94690
"Turnip greens, canned, reduced sodium, cooked, fat added",Other dark green vegetables,41,1330,2730,410,1300,2840,791,2,0.35,0,0.5,14.3,1.72,115,21,19,137,38,0,0,0,92260
"Watercress, cooked",Other dark green vegetables,36,2400,1350,210,500,2830,803,2,0.198,0,9.6,31.3,1.36,125,63,22,344,174,0,0,0,91830
"Bitter melon, horseradish, jute, or radish leaves, cooked",Other dark green vegetables,55,3490,6470,1010,1800,2730,752,2,0.964,0,20.6,53.8,1.7,41,75,91,583,135,0,0,0,86190
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",Other dark green vegetables,56,2120,7150,5300,1800,2870,784,2,0.971,0,20.6,1.5,1.23,32,39,46,302,129,0,0,0,86680
"Broccoli, cooked, from restaurant",Broccoli,72,2800,6560,1680,2600,4680,1338,3,0.6,0,18.9,74.9,1.27,47,66,21,313,240,0,0,0,84560
"Broccoli, fresh, cooked, no added fat",Broccoli,35,2930,6900,1770,2700,380,118,0,0.63,0,19.4,78.7,0.81,49,69,22,328,155,0,0,0,88580
"Broccoli, frozen, cooked, no added fat",Broccoli,28,3090,5330,1470,3000,120,18,0,0.457,0,16.2,40,1.32,33,49,13,142,127,0,0,0,90450
"Broccoli, NS as to form, cooked",Broccoli,58,2850,6700,1720,2600,3020,866,2,0.613,0,19.1,76.5,1.09,48,67,21,319,160,0,0,0,86230
"Broccoli, fresh, cooked, fat added, NS as to fat type",Broccoli,58,2850,6700,1720,2600,3020,866,2,0.613,0,19.1,76.5,1.09,48,67,21,319,160,0,0,0,86230
"Broccoli, frozen, cooked, fat added, NS as to fat type",Broccoli,50,3010,5180,1420,2900,2650,738,2,0.444,0,15.9,38.8,1.57,32,48,13,138,133,0,0,0,88150
"Broccoli, fresh, cooked with oil",Broccoli,61,2840,6700,1710,2600,3400,529,0,0.612,0,18.9,76.5,1.14,48,67,21,319,150,0,0,0,85880
"Broccoli, fresh, cooked with butter or margarine",Broccoli,54,2860,6710,1720,2600,2630,1203,4,0.613,0,19.3,76.5,1.05,48,67,21,319,170,0,0,0,86570
"Broccoli, frozen, cooked with oil",Broccoli,53,3000,5180,1420,2900,3020,415,0,0.443,0,15.7,38.8,1.62,32,47,13,137,123,0,0,0,87820
"Broccoli, frozen, cooked with butter or margarine",Broccoli,46,3020,5190,1420,2900,2280,1062,4,0.444,0,16.1,38.8,1.53,33,48,13,138,142,0,0,0,88480
Broccoli casserole with noodles,Vegetable dishes,109,3720,16020,1490,2000,3790,1966,17,1.234,0.02,19.2,41.1,0.55,42,70,20,197,186,0,0,0,75340
Broccoli casserole with rice,Vegetable dishes,106,4130,15090,1220,1900,3500,1683,7,1.008,0.019,11.5,19.8,0.79,79,77,14,105,186,0,0,0,76160
Fried broccoli,Fried vegetables,219,4250,22340,1010,1800,12780,1845,10,1.808,0.037,17.9,29.9,1.75,42,65,15,160,328,0,0,0,59230
"Broccoli, Chinese, cooked",Broccoli,50,1220,4720,890,2600,3410,868,2,0.44,0,27,25.4,0.81,106,44,19,277,134,0,0,0,89500
"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",Soups,69,2720,6280,3510,900,3650,1382,6,0.179,0,18.2,1,0.38,83,72,13,182,350,0,0,0,85870
"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",Soups,44,1060,3910,1080,900,2690,812,2,0.126,0,9.3,1,0.36,22,21,7,105,337,0,0,0,91180
"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",Soups,69,2720,6280,3510,900,3650,1382,6,0.179,0,17.3,1,0.38,83,72,13,182,350,0,0,0,85870
Watercress broth with shrimp,Soups,49,6250,1380,170,100,1860,354,38,1.745,0,34.1,2.5,0.73,54,90,11,145,261,0,0,0,88900
Spinach soup,Soups,30,2920,2880,1680,800,980,429,2,0.923,0,13.7,7.7,0.74,73,61,32,285,182,0,0,0,91880
"Dark-green leafy vegetable soup with meat, Asian style",Soups,78,6460,5560,850,1000,3320,898,15,1.251,0,26.3,5.9,0.28,29,56,11,189,270,0,0,0,83340
"Dark-green leafy vegetable soup, meatless, Asian style",Soups,49,1570,6560,1010,1200,1980,343,1,0.503,0,10.2,6.8,0.29,31,27,8,141,308,0,0,0,88520
"Carrots, cooked, from restaurant",Carrots,79,930,9470,4680,2800,4550,1257,3,0.923,0,9.1,5,1.15,33,35,12,317,276,0,0,0,83570
"Carrots, fresh, cooked, no added fat",Carrots,43,970,9950,4920,2900,250,33,0,0.97,0,9.1,5.2,0.68,34,36,12,332,192,0,0,0,87530
"Carrots, frozen, cooked, no added fat",Carrots,37,580,7710,4070,3300,680,120,0,0.415,0,8.6,2.3,1.01,35,31,11,191,175,0,0,0,90050
"Carrots, canned, cooked, no added fat",Carrots,25,640,5540,2480,1500,190,36,0,0.552,0,6.3,2.4,0.74,25,24,8,179,242,0,0,0,92950
"Carrots, fresh, cooked with oil",Carrots,68,940,9660,4780,2800,3270,446,0,0.942,0,8.9,5.1,1.02,33,35,12,323,187,0,0,0,84860
"Carrots, fresh, cooked with butter or margarine",Carrots,61,960,9670,4780,2800,2500,1120,4,0.943,0,9.3,5.1,0.93,34,36,12,323,207,0,0,0,85550
"Carrots, NS as to form, cooked",Carrots,65,950,9670,4780,2800,2880,783,2,0.942,0,9.1,5.1,0.97,34,36,12,323,197,0,0,0,85210
